date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:57	91506/91506	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:47%20GMT	https://demo.kaliumtheme.com/shop/product/the-age-of-collage/	demo.kaliumtheme.com/shop/product/the-age-of-collage/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:57	91788/91788	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:47%20GMT	https://demo.kaliumtheme.com/shop/product/sweeper-funnel/	demo.kaliumtheme.com/shop/product/sweeper-funnel/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:57	143282/143282	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:47%20GMT	https://demo.kaliumtheme.com/shop/?add-to-cart=73	demo.kaliumtheme.com/shop/index18c1.html	(from https://demo.kaliumtheme.com/shop/)
17:57:58	107908/107908	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:48%20GMT	https://demo.kaliumtheme.com/shop/product/stapler/	demo.kaliumtheme.com/shop/product/stapler/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:59	111246/111246	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:49%20GMT	https://demo.kaliumtheme.com/shop/product/ninja-silhouette/	demo.kaliumtheme.com/shop/product/ninja-silhouette/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:59	96031/96031	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:49%20GMT	https://demo.kaliumtheme.com/shop/product/et66-calculator/	demo.kaliumtheme.com/shop/product/et66-calculator/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:59	85988/85988	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:49%20GMT	https://demo.kaliumtheme.com/shop/product/wolfie/	demo.kaliumtheme.com/shop/product/wolfie/index.html	(from https://demo.kaliumtheme.com/shop/)
17:58:00	103600/103600	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:50%20GMT	https://demo.kaliumtheme.com/shop/product/analog-clock/	demo.kaliumtheme.com/shop/product/analog-clock/index.html	(from https://demo.kaliumtheme.com/shop/)
17:58:01	90557/90557	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:51%20GMT	https://demo.kaliumtheme.com/shop/product/scissors/	demo.kaliumtheme.com/shop/product/scissors/index.html	(from https://demo.kaliumtheme.com/shop/)
17:58:01	143282/143282	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:51%20GMT	https://demo.kaliumtheme.com/shop/?add-to-cart=103	demo.kaliumtheme.com/shop/indexb522.html	(from https://demo.kaliumtheme.com/shop/)
17:58:01	143282/143282	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:51%20GMT	https://demo.kaliumtheme.com/shop/?add-to-cart=53	demo.kaliumtheme.com/shop/indexacaf.html	(from https://demo.kaliumtheme.com/shop/)
17:58:02	143282/143282	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:52%20GMT	https://demo.kaliumtheme.com/shop/?add-to-cart=60	demo.kaliumtheme.com/shop/index7054.html	(from https://demo.kaliumtheme.com/shop/)
17:58:03	2430/2430	---MC-	200	added ('OK')	application/json	date:Mon,%2004%20Nov%202019%2016:56:53%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fproduct%2Fhasami-mug%2F	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed95c7.json	(from https://demo.kaliumtheme.com/shop/product/hasami-mug/)
17:58:03	92067/92067	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:54%20GMT	https://demo.kaliumtheme.com/shop/product/spherical-vase/	demo.kaliumtheme.com/shop/product/spherical-vase/index.html	(from https://demo.kaliumtheme.com/shop/)
17:58:03	92738/92738	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:54%20GMT	https://demo.kaliumtheme.com/shop/product/woo-album-3/	demo.kaliumtheme.com/shop/product/woo-album-3/index.html	(from https://demo.kaliumtheme.com/shop/)
17:58:03	143282/143282	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:54%20GMT	https://demo.kaliumtheme.com/shop/?add-to-cart=87	demo.kaliumtheme.com/shop/indexc42c.html	(from https://demo.kaliumtheme.com/shop/)
17:58:05	2558/2558	---MC-	200	added ('OK')	text/xml	date:Mon,%2004%20Nov%202019%2016:56:54%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fproduct%2Fhasami-mug%2F&format=xml	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed6902	(from https://demo.kaliumtheme.com/shop/product/hasami-mug/)
17:58:06	87031/87031	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:56%20GMT	https://demo.kaliumtheme.com/shop/product/salad-bowl/	demo.kaliumtheme.com/shop/product/salad-bowl/index.html	(from https://demo.kaliumtheme.com/shop/)
17:58:06	143281/143281	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:56%20GMT	https://demo.kaliumtheme.com/shop/?add-to-cart=90	demo.kaliumtheme.com/shop/indexd74c.html	(from https://demo.kaliumtheme.com/shop/)
17:58:06	143282/143282	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:56%20GMT	https://demo.kaliumtheme.com/shop/?add-to-cart=313	demo.kaliumtheme.com/shop/indexf8f6.html	(from https://demo.kaliumtheme.com/shop/)
17:58:07	12099/12099	---MC-	200	added ('OK')	application/rss+xml	etag:%22c3a75b39a3e39bde27d0e451d6682fc5%22	https://demo.kaliumtheme.com/shop/shop/feed/	demo.kaliumtheme.com/shop/shop/feed/index.html	(from https://demo.kaliumtheme.com/shop/shop/)
17:58:08	2392/2392	---MC-	200	added ('OK')	application/json	date:Mon,%2004%20Nov%202019%2016:56:58%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fproduct%2Foak-tray%2F	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embeda4fd.json	(from https://demo.kaliumtheme.com/shop/product/oak-tray/)
17:58:08	86602/86602	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:59%20GMT	https://demo.kaliumtheme.com/shop/product/aaldap/	demo.kaliumtheme.com/shop/product/aaldap/index.html	(from https://demo.kaliumtheme.com/shop/shop/)
17:58:08	80186/80186	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:59%20GMT	https://demo.kaliumtheme.com/shop/shop/?add-to-cart=34	demo.kaliumtheme.com/shop/shop/index7e21.html	(from https://demo.kaliumtheme.com/shop/shop/)
17:58:08	80192/80192	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:59%20GMT	https://demo.kaliumtheme.com/shop/shop/?add-to-cart=37	demo.kaliumtheme.com/shop/shop/indexf4c6.html	(from https://demo.kaliumtheme.com/shop/shop/)
17:58:10	2520/2520	---MC-	200	added ('OK')	text/xml	date:Mon,%2004%20Nov%202019%2016:56:59%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fproduct%2Foak-tray%2F&format=xml	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed90f5	(from https://demo.kaliumtheme.com/shop/product/oak-tray/)
